job_title,company,job_location,post_date,extract_date,job_description,job_salary
Senior Data Analyst,Paxful,"Remote in New York, NY",30+ days ago,2022-04-25,"Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers.
Conduct detailed data analysis on data used across…",
Data Scientist,Momentum Staffing Group LLC,"New York, NY 10005 (Financial District area)",4 days ago,2022-04-25,"M.S. or PhD degree in data science, computer science, software engineer, computer engineering, chemistry, or related field.
1–5 years of relevant experience.",
Data Scientist - Places,Foursquare,"New York, NY+1 location",10 days ago,2022-04-25,"Good knowledge of machine learning and data science fundamentals.
BS/BA in a quantitative field of study (computer science, data science, applied mathematics,…",
"Computational Designer, Geo",Google,"New York, NY (Chelsea area)",30+ days ago,2022-04-25,"Experience applying statistics, data science, machine learning, simulation, or modeling to problems of design and built environment.",
Senior Data Analyst,BrightHire,"Remote in New York, NY",30+ days ago,2022-04-25,"You will initially be the sole member of the team responsible for our internal data analytics including dashboards, data modeling, and data pipelines.",
Senior Data Scientist,Paramount,"New York, NY 10036",17 days ago,2022-04-25,"Champion data governance and evangelize data science standards within the company.
Research and implement data science approaches, and undertake data…",
Machine Learning Engineer,Invonto,"New York, NY",3 days ago,2022-04-25,"Experience with data science libraries including NumPy, SciPy, and OpenCV.
A degree in computer science, engineering, robotics, or relevant field.",
Principal Data Scientist,Anthem,"New York, NY 10006 (Financial District area)",15 days ago,2022-04-25,"Coach junior team members on various data science techniques.
Keep abreast of the latest enhancements and innovations within the areas of data science and big…",
Business Analyst - Content Acquisition & Business Developmen...,Philo,"Brooklyn, NY",7 days ago,2022-04-25,"Assist in deal strategy for content and platform renewals by analyzing financial, viewership, and competitive data and present recommendations to deal teams and…",
Product Data Scientist (NY),Philo,"New York, NY+1 location",30+ days ago,2022-04-25,"Design, build, and maintain automated dashboards that connect data from internal and external data sources to support reporting, data discovery and statistical…",
Healthcare Senior Data Analyst,Village Care,"New York, NY 10030 (Harlem area)",12 days ago,2022-04-25,"VillageCare is looking for a self-motivated Senior Data Analyst, with a strong knowledge of SQL, Python, and MLTC who will support the Quality and Data at…",
Data Scientist,FARFETCH,"New York, NY",30+ days ago,2022-04-25,"As a Data Scientist, you'll contribute to the engineering of the next-generation data science products and interfaces that connect our Machine Learning…",
Staff Scientist,"Analytic Partners, Inc.","Hybrid remote in New York, NY 10017",25 days ago,2022-04-25,"7+ years of industrial experience as a data scientist or other related roles.
Broad knowledge of business process, data sources and product infrastructure…",
Data Scientist,CBI Remote,"Remote in New York, NY",6 days ago,2022-04-25,"Exposure to big data technologies.
Experience working with data warehouses Eg: Redshift and other similar database systems.",
Senior Data Engineer,Nespresso,"New York, NY",9 days ago,2022-04-25,"Expertise analyzing data and data structures, designing and building database schemas to support secure data acquisition, data cleansing and blending, data…",
Business Analyst,"Creatd, Inc.","New York, NY",16 days ago,2022-04-25,"Use data to drive business development; evaluate and improve efficiencies for internal projects and workflows.
You think abstractly and can execute tactically.",
"Sr Data Analyst, AMERICAS",Smart AdServer,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Thanks to its holistic ad monetization platform (Adserver/SSP/Buyer Tools/DSP), brands can achieve greater efficiency through their advertising spend and…",
Director-Financial Systems,Amex,"New York, NY",3 days ago,2022-04-25,This initiative involves utilizing new technologies to create one standardized data set that can be utilized for broader Finance thus minimizing multiple point…,
Sr Data Scientist / Business Intelligence Analyst,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",8 days ago,2022-04-25,"4+ years of experience of using analytics and data science to impact key business decisions and related experience in statistics, economics, operations research…",
Data Analyst - Senior Associate,COTA,"Remote in New York, NY",30+ days ago,2022-04-25,"Help improve data pipeline accuracy by using data science and/or machine learning techniques.
Strong Python data science skillset is a must.",
Tapad - Senior Data Scientist,Experian,"Hybrid remote in New York, NY 10016",22 days ago,2022-04-25,"Employ predictive modeling, data mining, graph algorithms, and other data science techniques to contribute to and enhance our cross-device identity resolution…",
Healthcare Senior Data Analyst,Village Care,"New York, NY 10030 (Harlem area)",12 days ago,2022-04-25,"VillageCare is looking for a self-motivated Senior Data Analyst, with a strong knowledge of SQL, Python, and MLTC who will support the Quality and Data at…",
Data Engineer,Go2Andaman,"New York, NY",21 days ago,2022-04-25,"You are passionate about analytics use cases, data models and solving complex data problems.
You'll implement automated workflows that lower manual/operational…",
Product Data Scientist,Wework,"New York, NY",30+ days ago,2022-04-25,"3+ years experience in a product data science or similar role.
Take initiative to explore data independently to generate insights and/or data products that will…",
AI Software Developer,XSB,"Setauket, NY 11733",30+ days ago,2022-04-25,"Knowledge and experience in data mining techniques.
Participate in the development, release, and maintenance of software applications.",
"Data Scientist, Media Consulting",Known,"New York, NY",30+ days ago,2022-04-25,"In this role, you will lead the data science arm of our media campaigns, owning the relationship with the client when it comes to optimization and data.",
Inventory Analyst,Kiss Products,"Port Washington, NY",13 days ago,2022-04-25,"Bachelor's degree in supply chain management, business administration, data science, or a related field.
Responsible for managing inventory and operations.",
Senior Data Scientist,Angi,"Remote in New York, NY",6 days ago,2022-04-25,"Interacting with data using SQL.
Deep knowledge of machine learning and data mining algorithms.
Creating mathematical and data driven solutions for difficult…",
Data Analytics Consultant- Tableau- US Based Remote,"CoEnterprise, LLC","Remote in New York, NY 10018",30+ days ago,2022-04-25,"Exposure to data science concepts and applications.
Understanding of data storage and warehousing concepts (normalization, dimensional models, data staging).",
Sr. Data Scientist,"Analytic Partners, Inc.","Hybrid remote in New York, NY 10017",30+ days ago,2022-04-25,"Analyze data and create novel analytical solutions to answer business questions.
Identify & help implement innovative ways to drive efficiency in our data and…",
Senior Business Data Analyst,Zscaler,"New York, NY",5 days ago,2022-04-25,Proven track record of executing data roadmap for support groups by translating business data needs into functional and technical requirements for the data…,
Data Engineer,Munich Re America Services,"New York, NY",30+ days ago,2022-04-25,"5+ years of experience with data modeling, data processing, and data analytics as data engineer.
Work with various complex data sources at various levels of…",
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
"City Research Scientist II / Data and Technology Analyst, Bu...",NYC Careers,"Queens, NY 11101+2 locations",30+ days ago,2022-04-25,"Develop targeted reports, dashboards, and data visualization models that surface key information about emergency field operations data.",
KDB Data Scientist / Engineer,Barclays,"New York, NY 10019 (Midtown area)",30+ days ago,2022-04-25,"You will have ownership of data processes and code.
A bachelors degree in computer science, information services, engineering or related field.",
Senior Data Scientist,Carta,"New York, NY",30+ days ago,2022-04-25,"Work with Data Engineering team to build and implement data pipelines for new data sources.
You have at least 5+ years of analytics experience either in product…",
Data Scientist - New York or North Carolina,IBM,"New York, NY 10001 (Chelsea area)+1 location",30+ days ago,2022-04-25,"Algorithmic and practical understanding of other fields on data science such as NLP and AI.
Experience with data visualization tools.",
Senior Transportation Data Analyst,VSE Careers,"Remote in Clinton, NY 13323+1 location",30+ days ago,2022-04-25,Develop and execute data collection plans; formulate and implement data analysis approaches; synthesize and disseminate key findings to clients.,
"Educator, Data Scientist",BrainStation,"New York, NY 10012 (SoHo area)+1 location",25 days ago,2022-04-25,"Practical experience designing and applying data science processes to conduct experiments using a variety of tools and methods, and can speak to their…",
Data Scientist,Happy Returns,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience with databases, creating data tables and architecting data structure.
Collectively, the data structure which they create and operate will generates a…",
"Sr. Associate, Data Engineering",Dentsu Media,"New York, NY 10017 (Murray Hill area)",22 days ago,2022-04-25,"2+ years of data engineering or other data-intensive development experience.
Demonstrated skills in ETL development, data modeling, and data warehousing.",
"Sr. Associate, Data Engineering",Dentsu Media,"New York, NY 10017 (Murray Hill area)",22 days ago,2022-04-25,"2+ years of data engineering or other data-intensive development experience.
Demonstrated skills in ETL development, data modeling, and data warehousing.",
Senior Staff Data Scientist-Remote,Siemens Healthineers,"Remote in Tarrytown, NY 10591",30+ days ago,2022-04-25,"Conducting exploratory data analyses in high dimensions with different kinds of data, e. g. machine data (sensor data and log files), process-related data or…",
Senior Data Analyst,K Health,"Hybrid remote in New York, NY 10001",3 days ago,2022-04-25,"2+ years experience analyzing product data & event-based data.
5+ years experience as a data analyst.
Using your deep understanding of the data that we have…",
Head of Enterprise Data Science,M&T Bank,"Buffalo, NY",30+ days ago,2022-04-25,"Our team builds enduring data products, provides platforms to access & derive insights from data, enables confidence in decision making with appropriate data…",
Senior Data Scientist,Yext,"New York, NY 10010 (NoMad area)",30+ days ago,2022-04-25,"Solve data science problems end-to-end, starting from exploration and analysis to pragmatic implementations of high quality solutions.
GoLang or C++ also great!",
Senior Data Analyst,Monument Economics Group,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Science, predictive analytics, computer science, financial engineering, quantitative.
Processes) and data visualization in JMP;
Require less than 50% travel).",
Business Intelligence Analyst,Murmuration,"New York, NY 10005 (Financial District area)",10 days ago,2022-04-25,"Experience partnering with business, engineering, and data science teams to deliver data-driven insights and translating those into product development or…",
Senior Data Analyst,StrongArm Technologies,"Brooklyn, NY",27 days ago,2022-04-25,"Utilize data monitoring tools to evaluate programs and internal data structures.
Ensure high quality data integrity for all underlying data sets and reports.",
Research Associate,New York University,"Brooklyn, NY+3 locations",30+ days ago,2022-04-25,"This position requires a graduate degree in data science or computer science, and hands-on experience in python.",
Staff Machine Learning Engineer,Sift,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Knowledge of GCP or AWS cloud stack for web services and big data processing.
Motivate, listen and empathize, and help engineers and data scientists to excel.",
"Financial Analyst, YouTube and Video, Ads Finance",YouTube,"New York, NY",30+ days ago,2022-04-25,"Experience extracting insights from data and presenting them to an audience.
Present analyses to stakeholders and translate complex data into actionable…",
Data Engineer II,Oscar Health,"Remote in New York, NY 10013",4 days ago,2022-04-25,"We remove data silos, democratize data, and empower data scientists, operations, engineers, and our partners to make data-driven decisions.",
Senior Data Scientist,Click Therapeutics,"Remote in New York, NY",30+ days ago,2022-04-25,Key challenges are help us design and implement data products using state-of-the-art technologies with data security at utmost importance and employ elegant…,
Data Scientist (Remote - USA),Fevo,"Remote in New York, NY",30+ days ago,2022-04-25,"Design and execute appropriate data models by compiling data from multiple sources, and by working closely with stakeholders across FEVO.",
Sr. Data Analyst,Zachary Piper Solutions,"Remote in Queens, NY",4 days ago,2022-04-25,"Enhance out of state vaccination data by establishing automated connection with Tiberius database.
Collaborate with programmers, engineers, and organizational…",
Business Intelligence Analyst,Murmuration,"New York, NY 10005 (Financial District area)",10 days ago,2022-04-25,"Experience partnering with business, engineering, and data science teams to deliver data-driven insights and translating those into product development or…",
Senior Data Analyst,StrongArm Technologies,"Brooklyn, NY",27 days ago,2022-04-25,"Utilize data monitoring tools to evaluate programs and internal data structures.
Ensure high quality data integrity for all underlying data sets and reports.",
Research Associate,New York University,"Brooklyn, NY+3 locations",30+ days ago,2022-04-25,"This position requires a graduate degree in data science or computer science, and hands-on experience in python.",
Staff Machine Learning Engineer,Sift,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Knowledge of GCP or AWS cloud stack for web services and big data processing.
Motivate, listen and empathize, and help engineers and data scientists to excel.",
"Financial Analyst, YouTube and Video, Ads Finance",YouTube,"New York, NY",30+ days ago,2022-04-25,"Experience extracting insights from data and presenting them to an audience.
Present analyses to stakeholders and translate complex data into actionable…",
Data Engineer II,Oscar Health,"Remote in New York, NY 10013",4 days ago,2022-04-25,"We remove data silos, democratize data, and empower data scientists, operations, engineers, and our partners to make data-driven decisions.",
Senior Data Scientist,Click Therapeutics,"Remote in New York, NY",30+ days ago,2022-04-25,Key challenges are help us design and implement data products using state-of-the-art technologies with data security at utmost importance and employ elegant…,
Data Scientist (Remote - USA),Fevo,"Remote in New York, NY",30+ days ago,2022-04-25,"Design and execute appropriate data models by compiling data from multiple sources, and by working closely with stakeholders across FEVO.",
Sr. Data Analyst,Zachary Piper Solutions,"Remote in Queens, NY",4 days ago,2022-04-25,"Enhance out of state vaccination data by establishing automated connection with Tiberius database.
Collaborate with programmers, engineers, and organizational…",
"Data Architect, Business Intelligence","The Segal Group, Inc.","New York, NY",30+ days ago,2022-04-25,"Establish and champion best data management practices to integrate, centralize and govern data sources.
Provide leadership and guidance regarding data modelling…",
MLOps/Big_Data_Engineer (Remote in the US),Fractal.ai,"Remote in New York, NY+1 location",6 days ago,2022-04-25,"Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using GCP or on-prem big data…",
Senior Data Analyst,Careers at Paxful,"New York, NY",30+ days ago,2022-04-25,"Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers.
Conduct detailed data analysis on data used across…",
"VP, Data & Insights",BEGiN,"Remote in New York, NY 10027",30+ days ago,2022-04-25,"Own data analytics, data science, and data engineering.
10+ years' experience working in the data analytics and data science field preferred.",
Senior Data Scientist,SmartAsset,"Remote in New York, NY",30+ days ago,2022-04-25,"Comfortable in working on the line between data science and data engineering.
Strong quantitative background, having either been a graduate of a data science…",
Director Data Science,"Discovery, Inc.","New York, NY 10022 (Turtle Bay area)",30+ days ago,2022-04-25,"Identify appropriate data science solutions as new data-centric business queries arise.
Agree on project deliverable timelines with data science team & relevant…",
Data Strategist,Deloitte,"New York, NY",30+ days ago,2022-04-25,"5+ years of experience developing approaches and frameworks for broad data strategy initiatives, including data governance, master data management, data quality…",
Data Analyst,MRC,"Manhattan, NY+1 location",30+ days ago,2022-04-25,"Serve as an internal consultant on data analytics and advocacy on data-driven decision-making.
Experience with SQL and other modern data storage technologies.",
Post-doctoral Fellow in Data Science,Vassar College,"Poughkeepsie, NY 12604",30+ days ago,2022-04-25,"Responsibilities include teaching two undergraduate courses per year in data science, leading faculty development workshops on data science, and coordinating a…",
Machine Learning Engineer,Komodo Health,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience with large-scale data and computational technologies (e.g. Spark, Snowflake).
Advanced our model creation process through improving creation of…",
VP Marketing Analytics,Crandall Associates,"Hartsdale, NY 10601",EmployerActive 4 days ago,2022-04-25,"This is an opportunity to lead the data science department, and drive the utilization & expansion of data science for a family friendly, established, profitable…",
Head of Data & Analytics,Yieldstreet,"New York, NY 10022 (Midtown area)",30+ days ago,2022-04-25,"Experience with data science frameworks.
Become an expert at all things data and KPIs at Yieldstreet to guide people through their data needs and derive…",
Data Analytics Lead,Charlie Health,"Remote in New York, NY",14 days ago,2022-04-25,"Collaborate with data science, engineering, and business-focused colleagues to inform data and client related decisions, automate data processes, build…",
Data Scientist (Fully Remote) 6 Month-Contract,Harnham,"Remote in New York, NY+3 locations",10 days ago,2022-04-25,"Explain sophisticated data science concepts in an understandable manner.
Degree in computer science, applied mathematics, statistics, machine learning, or other…",
Healthcare Data Scientist,Milliman,"New York, NY 10119 (West Village area)",30+ days ago,2022-04-25,"Hands on advanced data analytics and project management.
Milliman’s NYC Health Practice consults to clients on disease processes, treatments, costs, healthcare…",
Applied Scientist,"Amazon Dev Center U.S., Inc.","New York, NY+30 locations",30+ days ago,2022-04-25,"As an Applied Scientist, you will bring statistical modeling and machine learning advancements to data analytics for customer-facing solutions in complex…",
Senior Associate - Global Investment Data Analyst - Brooklyn...,"JPMorgan Chase Bank, N.A.","Brooklyn, NY",17 days ago,2022-04-25,Partner with Technology and the Data Architecture team on design of data models and strategic data interfaces.,
Principal Data Scientist - Emerging Merchant Businesses,Capital One - US,"New York, NY 10011 (Flatiron area)+1 location",4 days ago,2022-04-25,"You know understanding the data is often the key to great data science.
You have hands-on experience developing data science solutions using open-source tools…",
Machine Learning Engineer,Abnormal Security,"Remote in New York, NY",28 days ago,2022-04-25,"A statistics/data science meets ML role.
Participate in building a world-class detection engine across all layers - data quality, feature engineering, model…",
Data Engineer,G/O Media,"New York, NY",30+ days ago,2022-04-25,"Work with our data science team on ETL and data delivery.
Experience working with small data science teams.
Our platform runs on AWS and Google Cloud Platform,…",
Valuation Analyst - Global Banking and Markets,Bank of America,"New York, NY",30+ days ago,2022-04-25,"Research, develop and incorporate existing and emerging market data sources into IPV processes with a focus on fair value and understanding valuation…",
"Data Scientist, Media Consulting",Known,"New York, NY",30+ days ago,2022-04-25,"In this role, you will lead the data science arm of our media campaigns, owning the relationship with the client when it comes to optimization and data.",
Healthcare Business/Data Analyst,IQVIA,"Orchard Park, NY+1 location",30+ days ago,2022-04-25,"Work with Senior Analysts and data modelers to create a source to target data mappings.
Assists with conducting current state data assessment.",
Deals Tech & Data - Associate,PRICE WATERHOUSE COOPERS,"Remote in New York, NY+2 locations",30+ days ago,2022-04-25,"Handle, manipulate and analyse data and information responsibly.
And/or data visualization certifications such as Tableau and PowerBI.",
Data Scientist (Remote),Hill's Pet Nutrition,"Remote in New York, NY",30+ days ago,2022-04-25,"Understanding of data architecture and data engineering.
Proficiency with Python or R for data manipulation; experience with data modeling techniques.",
"Senior Data Analyst, Go Live Team",Riskified,"Hybrid remote in New York, NY 10001",30+ days ago,2022-04-25,"Strong analytical skills with complex data.
Bachelor's or Master's degree - preferably in a highly-quantitative field (i.e. mathematics, statistics, computer…",
"Data Scientist Lead, Payments",Level,"Remote in New York, NY 10013",30+ days ago,2022-04-25,"Work cross-functionally to inform data collection, productionize data science work, and integrate machine learning into the product.",
Senior Data Scientist,AbleTo,"Remote in New York, NY 10018",30+ days ago,2022-04-25,"Experience with production data science best practices.
Design and implement model features using medical and pharmacy claims data, engagement data, and other…",
City Research Scientist I/Data Analyst,NYC Department of Health and Mental Hygiene,"Long Island City, NY 11101",EmployerActive 28 days ago,2022-04-25,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with…",
Business Intelligence Engineer (University Grad),Roku,"New York, NY 10001 (Garment District area)",30+ days ago,2022-04-25,"Previous internship experience in data management, analytics, data science and reporting.
Presentation skills with strong data visualization and data…",
Machine Learning Researcher,Hudson River Trading,"New York, NY 10005 (Financial District area)",30+ days ago,2022-04-25,"Financial markets present a variety of unique and interesting technical challenges for ML research, including latency constraints, non-stationarity, and low…",
"Associate/Senior Associate, Data Analytics",Alvarez & Marsal,"New York, NY",30+ days ago,2022-04-25,The successful candidate will help improve efficiency in processing large quantity of data and enables a data-driven approach to help our clients solve problems…,
Senior Data Analyst,wpromote,"Remote in New York, NY",30+ days ago,2022-04-25,"This individual will contribute to data mining, data cleansing, data analysis, and visualization initiatives.
Learning how to automate data gathering, blending,…",
Senior Data Scientist,CVS Health,"New York, NY+7 locations",30+ days ago,2022-04-25,"Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.
3+ years of relevant analytic experience.",
"Data Scientist, Genomics",Alldus,"New York, NY",30+ days ago,2022-04-25,"4+ years of experience in data science and machine learning.
Biology background / experience with RNA/DNA data.",
"Senior Data Analyst, Marketing Technology Automation",FanDuel,"New York, NY",30+ days ago,2022-04-25,"Partner with marketing and data teams quarterly in developing new data points for use in campaigns.
Master our data architecture, the variety of data sources…",
"Senior Data Analyst, Marketing Technology Automation",FanDuel,"New York, NY",30+ days ago,2022-04-25,"Partner with marketing and data teams quarterly in developing new data points for use in campaigns.
Master our data architecture, the variety of data sources…",
"Manager, Analytics",DailyPay Inc,"New York, NY 10004 (Financial District area)",Just posted,2022-04-25,"Experience managing analysts or data scientists is a plus but not required.
This position will also enable client success through guiding the development of…",
"Sr Data Scientist, Advertising",Roku,"New York, NY 10001 (Garment District area)+1 location",7 days ago,2022-04-25,"Partner with leadership, engineers, product managers and data engineers to understand data needs.
Experience with data visualization platform like Tableau,…",
"Senior Data Analyst, Trust and Safety, Product",Google,"New York, NY (Chelsea area)",30+ days ago,2022-04-25,"Experience in Internet-based risk, abuse, data protection, or security.
The Trust and Safety Ads User Feedback team is a one-stop shop for data collection,…",
Adjuncts in Data Analytics,Long Island University,"Brookville, NY 11548",30+ days ago,2022-04-25,The College of Management at Long Island University Post Campus seeks Adjunct Professors to teach in-person undergraduate and graduate data analytics courses.,
"Data Analytics Analyst, Technology and Analytics",BRE Hotels & Resorts,"New York, NY",30+ days ago,2022-04-25,"The Technology and Analytics team utilizes customed technology platforms/applications, advanced data manipulation, visual analytics techniques and modern BI and…",
Geopolitical Advisory Analyst,Lazard Ltd.,"New York, NY",10 days ago,2022-04-25,"Day-to-day activities of a Geopolitical Advisory Analyst include creating research notes, tracking world events relevant to our clients, financial analysis and…",
Sr. Machine Learning Engineer,WorkFusion,"New York, NY 10005 (Financial District area)+1 location",19 days ago,2022-04-25,"Supporting data/AI research scientists to run experiments at scale on our in-house ML Ops platform.
Working on cross-functional teams including product…",
"Director, Data Operations - Remote",DISCO,"Remote in New York, NY",30+ days ago,2022-04-25,"On a day-to-day basis, be the point of contact for any escalations related to Data Operations services including data processing, exception remediation, data…",
Business Analytics Specialist,IEX Group,"New York, NY",30+ days ago,2022-04-25,"Interested data visualization and analytics.
Data analysis experience – spent time with a query language like kdb+/q or a data science module like Pandas for…",
Principal Data Engineer,SmartAsset,"New York, NY",30+ days ago,2022-04-25,"Good knowledge of pandas with hands on data experience.
We take a holistic view of the firm's data, from cloud storage to sales contracts, and provide…",
"Senior Data Analyst, Programmatic",Known,"New York, NY",30+ days ago,2022-04-25,"Aptitude for deeply interpreting data/analytics.
Experience with data visualization tools such as Looker or Tableau is a plus.
Basic ML is a plus.",
SENIOR DATA SCIENTIST / DATA SCIENTIST,Tellic LLC,"Water Mill, NY 11976",30+ days ago,2022-04-25,"Proficient with data visualizations (e.g. Bokeh) and using data to tell business stories.
5 yrs experience in data science/modeling/advanced machine learning…",
Computational Biologist I,Memorial Sloan Kettering Cancer Center,"Hybrid remote in New York, NY 10017",13 days ago,2022-04-25,"1-2 years of data science experience.
Present scientific and technical data to colleagues clearly and cohesively.
Deliver well annotated code and analysis.",
"Data Scientist, Presales, New York",Moveworks,"New York, NY",30+ days ago,2022-04-25,"Focus on improving data quality and anomaly detection to increase trust in data.
Expertise in data modeling, ETL (or relevant toolkit), and data warehousing…",
Machine Learning Engineer,Komodo Health,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience with large-scale data and computational technologies (e.g. Spark, Snowflake).
Advanced our model creation process through improving creation of…",
Data Engineer,Maven Clinic,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Develop data enhancements using data science and machine learning approaches.
Knowledge of data modeling, data access, and data storage best practices.",
Senior Healthcare Data Analyst,FAIR Health,"Remote in New York, NY 10017",30+ days ago,2022-04-25,A strong background with healthcare data and analyses and a very good understanding of variations in the data itself.,
Senior Data Scientist,SecurityScorecard,"Remote in New York, NY",1 day ago,2022-04-25,"You'll use a typical data science Python-based stack and a variety of machine learning and statistical analysis methods.
Ability to work cross-functionally.",
"Quantitative Marketing Scientist, Research and Insights, Ads...",Google,"New York, NY (Chelsea area)",30+ days ago,2022-04-25,"2 years of experience applying data science to business questions.
You will explore datasets, prototype data science concepts, and build data pipelines to…",
"Lead Data Scientist, Growth & Engagement",Spring Health,"Remote in New York, NY 10003",30+ days ago,2022-04-25,"You have a degree in a STEM-related field and at least 5 years of commercial experience in a data science role.
Focus on total health including:",
"Product Manager, Data Science",CB Insights,"Remote in New York, NY",30+ days ago,2022-04-25,"Prior experience in a product or analytical role connected to data science.
Identify opportunities to use data science to serve customers and internal partners,…",
Data Scientist,Morgan Stanley,"New York, NY+3 locations",14 days ago,2022-04-25,Morgan Stanley Research Technology is looking for a data scientist to help with conducting advanced data analysis and develop Machine Learning and Artificial…,
Senior Data Insights Analyst,"Bluecore, Inc.","Remote in New York, NY 10002",30+ days ago,2022-04-25,"Experience with R, Python, or other languages for data analysis a must.
As a Senior Data Insights Analyst on the team, your job will be to mine, explore, and…",
"Manager, Digital Analytics - MTV Entertainment",Paramount,"New York, NY 10014 (West Village area)",18 days ago,2022-04-25,"Experience using Tableau or PowerBI for data analysis and dashboards.
Ability to build and tell a story through data in the form of presentations and other…",
Data Scientist,Happy Returns,"Remote in New York, NY",30+ days ago,2022-04-25,"Experience with databases, creating data tables and architecting data structure.
Collectively, the data structure which they create and operate will generates a…",
"VP, Analytics",Dentsu Media,"New York, NY 10017 (Murray Hill area)",Today,2022-04-25,"Steward development and ongoing management of our unified data infrastructure, directing engineers to deploy data sources and architecture that can be leveraged…",
Manager Business Intelligence Streaming,TEGNA,"New York, NY",30+ days ago,2022-04-25,"Advance knowledge of Tableau, Data Studio or similar BI and data visualization tools.
Identify and collect data necessary to forecast the impact of changes to…",
Data Engineer,G/O Media,"New York, NY",30+ days ago,2022-04-25,"Work with our data science team on ETL and data delivery.
Experience working with small data science teams.
Our platform runs on AWS and Google Cloud Platform,…",
Data Scientist,Neuro-ID,"Remote in New York, NY",4 days ago,2022-04-25,"1-3 years experience delivering data science projects analyzing and modeling real-world problems.
This person will be instrumental in researching and developing…",
Machine Learning Research Engineer,Schrödinger,"New York, NY+4 locations",30+ days ago,2022-04-25,"Ability to work with multi-dimensional data and solve data munging problems with python.
Knowledge of log processing and data analysis.
Who will love this job:",
Secure Insights - Data Engineer,"JPMorgan Chase Bank, N.A.","New York, NY",1 day ago,2022-04-25,"Innovate new ways of managing, transforming and validating data.
Advanced knowledge of application, data and infrastructure architecture disciplines.",
Data Analyst - Underwriting and Data Strategy,Haven Technologies,"New York, NY 10010 (NoMad area)",30+ days ago,2022-04-25,"Partner with client-side data science teams.
Acquire data from primary or secondary data sources.
You are also a data nerd and are excited by the thought of…",
Machine Learning DevOps Engineer,DailyPay Inc,"Remote in New York, NY 10004",11 days ago,2022-04-25,"This position will work with software developers, database architects, data analysts and data scientists to expand and optimize our data and data pipeline…",
Data Management and Analytics Consultant - IPSA 9 - Office-b...,United Nations Development Programme (UNDP),"New York, NY",Just posted,2022-04-25,"Advanced degree from an internationally accredited university in data science, data management, digital technology, statistics, or relevant social science with…",
Senior/Staff Data Analyst,Bread Financial,"New York, NY",20 days ago,2022-04-25,"Partner with other internal partners to identify new data sources and new models into organization’s data infrastructure.
Help teams to determine data outcomes.",
"Team Lead, Data Analytics Engineering (Remote)",Even Financial,"Remote in New York, NY",30+ days ago,2022-04-25,"Use SQL, Python (pandas, numpy) and Spark to optimize our data models and work with data engineering to optimize/validate upstream data pipelines for…",
Machine Learning Engineer,Invonto,"New York, NY",3 days ago,2022-04-25,"Experience with data science libraries including NumPy, SciPy, and OpenCV.
A degree in computer science, engineering, robotics, or relevant field.",
Program Director Research Science - Analytics,NewYork-Presbyterian Hospital,"Hybrid remote in Manhattan, NY 10065",26 days ago,2022-04-25,"Minimum three years research experience in managing and analyzing clinical data, and proven.
Experience analyzing and interpreting data, maintaining and…",
Data Engineer,Alldus,"Hybrid remote in New York, NY",30+ days ago,2022-04-25,"Previous experience building data products.
Our client have built a platform that uses data to help clients drive successful and targeted Marketing campaigns…",
"Data Analyst, Risk Adjustment",Oscar Health,"Remote in New York, NY 10013",30+ days ago,2022-04-25,"Integrate external data sources from providers, vendors, and healthcare partners into existing data workflows and systems.
2+ years of SQL experience.",
Operations Research Engineer II,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",30+ days ago,2022-04-25,"4+ years of experience of using analytics and data science to impact key business decisions.
Manage analytical projects from ""question to answer"" including…",
Principal - Data Science - Data Science,Credera,"New York, NY",30+ days ago,2022-04-25,Our data capabilities help our clients gain competitive advantage by transforming raw data into insights that enable actionable decision making.,
Quantitative Product Analyst,S&P Global,"New York, NY 10041 (Financial District area)+1 location",30+ days ago,2022-04-25,"Strong understanding of data driven quantitative investment workflows and data science techniques.
Our Hiring Manager says: “Successful candidates will have a…",
"Product Strategy Analyst, Market Insights",Google,"Hybrid remote in New York, NY",30+ days ago,2022-04-25,"Partner cross-functionally with product, finance, data science, and other teams on a variety of growth-focused projects.
Remote location(s): California, USA.",
